</ doc>  |||  ﻿</doc> .
Es gibt auch Juden auf den benachbarten britischen Inseln, die meisten von ihnen auf den Chanel-Inseln .  |||  עס זענען אויך פאראן יידן אויף די ארומיקע בריטישע אינדזלען, רוב פון זיי אויף די טשאנעל אינדזלען .
Die Juden leben in den großen Städten in England, aber weniger in Schottland, Wales und Nordirland .  |||  די יידן וואוינען אין די גרויסע שטעט אין ענגלאנד אבער ווייניג אין סקאטלאנד, וויילס, און צפון אירלאנד .
Heute gibt es Tausende von Juden in den Vereinigten Staaten, die in Großbritannien für eine wunderbare Anzahl von Silberschmieden leben .  |||  עס וואוינען היינט צו טאג אין בריטאניע א געשאצטע 400,000 יידן פון דעם א שיינע צאל שמרי תורה ומצוות .
Diese Grundlage des Zionismus hatte in der Zeit vor dem Ersten Weltkrieg sogar Tausende Juden in der Bretagne von gebracht, wie die Menschen hatten die Planung und möglicherweise in etabliertem jüdisches Land .  |||  דאס גרינדונג פון ציוניזם האט אין די צייטן בעפאר דער וועלט קריג געברענגט נאך טויזנטער יידן קיין בריטאניע פון ווי מען האט פלאנירט און עווענטועל זיך אויפגעשטעלט די יידישע מדינה .
Alle jüdischen Einwanderer fanden Häuser in den umliegenden Städten wie Glasgow, Leeds, Liverpool, Manchester und London .  |||  אלע יידישע אימיגראנטן האבן געפינען היימען אין די אינערליכע שטעט ווי גלאזגא, לידז, ליווערפול, מאנטשעסטער און לאנדאן .
Es wird geschätzt, dass die jüdische Bevölkerung von 65 .000 auf 300 .000 Jahre gestiegen ist .  |||  מען שאצט אז די יידישע באפעלקערונג איז געשטיגן אין די עטלעכע יאר פון 65,000 צו 300,000 .
Die größte jüdische Emigration nach Großbritannien war zwischen den Jahren 881 'und 914 .  |||  די גרעסטע יידישע אימיגראציע קיין בריטאניע איז געווען צווישן די יארן פון 881' און 914' .
Der erste jüdische politische Gefangene in London war Lonnel de Rothschild, der im Namen der Gemeinschaft einen Sitz im Haus gewonnen hatte, nachdem er großes Interesse an der industriellen Entwicklung hatte .  |||  דער ערשטער יידישער פאליטישן אין בריטאניע איז געווען ליאנעל דע ראטשילד וועלכער האט געוואונען א זיץ אין די הויז אף קאמאנס נאכדעם וואס ער האט א סך צוגעהאלפן צו די אינדוסטריעלער אנטוויקלונג .
Die Assyrer und Spadariden gründeten in jenen Jahren ein offizielles jüdisches Büro in der Regierung, das "Chef des Verteidigungsoffiziers der britischen Jamais" genannt wurde .  |||  די אשכנזים און ספרדים האבן אין יענע יארן צוזאמען אויפגעשטעלט אן אפיציעלע אידישע באורד אין די רעגירונג וועלכע האט זיך גערופן די "באורד אף דעפיוטיס אף בריטיש דזשאוס" .
Im 18 . Jahrhundert begannen die aschkenasischen Juden ganz Europas zu zittern .  |||  אינעם 18טן יאָרהונדערט האבן אנגעהויבן שטראמען אשכנז'ישע יידן פון גאנץ אייראפע .
Einige Israelis kamen aus Deutschland, waren aber kleinere Gruppen .  |||  אביסל אשכנזים זענען אויך געקומען פון דייטשלאנד אבער זענען געווען קלענערע גרופעס .
Die ersten jüdischen Kontexte in Großbritannien waren Spidien, die aus den Niederlanden kamen .  |||  די ערשטע יידישע קהלות אין בריטאניע זענען געווען ספרדים וועלכע זענען געקומען פון האלאנד .
